"","GOMFID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0003677",0.0010924382409592,2.43260568260568,8.83152975897688,19,241,"DNA binding"
"2","GO:0004518",0.00698976959263057,3.46145966709347,2.27201180521397,7,62,"nuclease activity"
"3","GO:0003676",0.0122610214659637,1.78717915081551,14.1451057550418,23,386,"nucleic acid binding"
"4","GO:0016874",0.0206245635435864,2.38044382801664,4.10427939006394,9,112,"ligase activity"
"5","GO:0004386",0.0349884277675512,2.42623690863127,3.11485489424496,7,85,"helicase activity"
