GENE
BDEG_00002
BDEG_01063
BDEG_01064
BDEG_01110
BDEG_01232
BDEG_04242
BDEG_04243
BDEG_05014
BDEG_05015
BDEG_05016
BDEG_05061
BDEG_05062
BDEG_05063
BDEG_05064
BDEG_05587
BDEG_05592
BDEG_06380
BDEG_06770
BDEG_07213
BDEG_07868
BDEG_07870
BDEG_08314
BDEG_08319
BDEG_08321
BDEG_08322
BDEG_08582
BDEG_08583
BDEG_08605
